iter	Passed	Remaining
483	601	641
484	602	639
485	603	638
486	605	637
487	606	636
488	607	634
489	608	633
490	611	633
491	612	632
492	614	631
493	615	630
494	616	628
495	617	627
496	618	625
497	619	624
498	620	623
499	622	622
500	623	621
501	625	620
502	626	619
503	627	617
504	628	616
505	629	614
506	631	613
507	632	612
508	634	611
509	635	610
510	636	609
511	637	607
512	638	606
513	639	604
514	640	603
515	642	602
516	643	601
517	645	600
518	646	599
519	647	597
520	648	596
521	650	595
522	652	594
523	652	593
524	653	591
525	654	589
526	656	589
527	657	588
528	658	586
529	660	585
530	660	583
531	661	582
532	662	580
533	663	579
534	664	577
535	665	576
536	666	574
537	667	573
538	668	572
539	671	572
540	673	571
541	674	570
542	675	568
543	676	567
544	677	565
545	678	564
546	679	563
547	681	561
548	683	561
549	685	561
550	687	560
551	688	559
552	690	557
553	691	556
554	692	555
555	693	553
556	694	552
557	695	551
558	696	549
559	697	548
560	698	546
561	699	545
562	700	543
563	703	543
564	704	542
565	706	541
566	707	540
567	708	538
568	709	537
569	710	535
570	710	534
571	711	532
572	712	531
573	715	531
574	717	530
575	718	529
576	720	527
577	721	526
578	722	525
579	723	523
580	724	522
581	725	520
582	726	519
583	727	517
584	728	516
585	729	515
586	731	514
587	732	513
588	734	512
589	735	510
590	736	509
591	737	508
592	738	506
593	739	505
594	739	503
595	741	502
596	741	500
597	742	499
598	743	497
599	745	497
600	748	496
601	749	495
602	750	494
603	752	493
604	753	491
605	754	490
606	755	489
607	756	487
608	757	486
609	758	485
610	760	484
611	761	482
612	762	481
613	763	480
614	764	478
615	765	477
616	766	475
617	767	474
618	768	473
619	769	471
620	770	470
621	771	468
622	771	467
623	772	465
624	774	464
625	775	463
626	776	461
627	777	460
628	778	459
629	778	457
630	780	456
631	781	454
632	782	453
633	783	452
634	783	450
635	784	449
636	785	447
637	787	446
638	787	445
639	789	443
640	790	442
641	790	441
642	791	439
643	792	438
644	794	437
645	795	435
646	795	434
647	796	432
648	797	431
649	798	429
650	800	428
651	800	427
652	801	426
653	802	424
654	803	423
655	805	422
656	806	420
657	807	419
658	807	418
659	808	416
660	809	415
661	810	413
662	811	412
663	812	411
664	813	409
665	814	408
666	815	406
667	815	405
668	816	404
669	818	403
670	819	401
671	820	400
672	821	399
673	822	397
674	823	396
675	824	395
676	825	393
677	826	392
678	826	390
679	827	389
680	828	388
681	829	386
682	830	385
683	831	384
684	832	382
685	833	381
686	835	380
687	836	379
688	837	378
689	839	376
690	840	375
691	841	374
692	842	373
693	843	371
694	845	370
695	846	369
696	847	368
697	848	367
698	849	365
699	851	364
700	852	363
701	853	362
702	854	360
703	855	359
704	857	358
705	858	357
706	859	356
707	860	355
708	862	353
709	863	352
710	864	351
711	865	350
712	867	349
713	868	347
714	869	346
715	870	345
716	871	343
717	872	342
718	872	341
719	873	339
720	875	338
721	877	337
722	878	336
723	879	335
724	880	334
725	882	333
726	883	331
727	884	330
728	885	329
729	886	327
730	887	326
731	888	325
732	889	324
733	890	322
734	891	321
735	892	320
736	894	319
737	896	318
738	897	317
739	898	315
740	899	314
741	901	313
742	902	312
743	903	310
744	905	309
745	906	308
746	907	307
747	910	306
748	913	306
749	915	305
750	916	303
751	918	302
752	920	301
753	922	300
754	924	300
755	926	298
756	927	297
757	928	296
758	930	295
759	931	294
760	932	292
761	933	291
762	934	290
763	935	288
764	936	287
765	937	286
766	938	285
767	940	284
768	941	282
769	942	281
770	943	280
771	944	279
772	945	277
773	946	276
774	948	275
775	949	274
776	950	272
777	951	271
778	952	270
779	954	269
780	955	267
781	957	266
782	958	265
783	959	264
784	961	263
785	962	262
786	963	260
787	964	259
788	965	258
789	966	257
790	968	255
791	969	254
792	971	253
793	972	252
794	973	251
795	974	249
796	975	248
797	977	247
798	978	246
799	979	244
800	980	243
801	981	242
802	982	241
803	985	240
804	986	239
805	988	238
806	990	236
807	992	235
808	993	234
809	995	233
810	996	232
811	998	231
812	1000	230
813	1001	228
814	1003	227
815	1004	226
816	1005	225
817	1007	224
818	1008	222
819	1009	221
820	1010	220
821	1012	219
822	1013	218
823	1015	216
824	1016	215
825	1017	214
826	1019	213
827	1021	212
828	1022	210
829	1023	209
830	1025	208
831	1026	207
832	1027	206
833	1029	204
834	1030	203
835	1032	202
836	1033	201
837	1034	200
838	1035	198
839	1036	197
840	1038	196
841	1039	195
842	1041	193
843	1042	192
844	1044	191
845	1046	190
846	1047	189
847	1048	187
848	1049	186
849	1050	185
850	1051	184
851	1053	182
852	1054	181
853	1056	180
854	1057	179
855	1059	178
856	1060	176
857	1061	175
858	1062	174
859	1063	173
860	1064	171
861	1065	170
862	1066	169
863	1067	168
864	1068	166
865	1069	165
866	1070	164
867	1072	163
868	1075	162
869	1076	160
870	1078	159
871	1079	158
872	1080	157
873	1081	155
874	1083	154
875	1084	153
876	1085	152
877	1087	151
878	1088	149
879	1089	148
880	1090	147
881	1091	146
882	1093	144
883	1094	143
884	1095	142
885	1096	141
886	1097	139
887	1098	138
888	1099	137
889	1100	135
890	1100	134
891	1102	133
892	1103	132
893	1105	131
894	1106	129
895	1107	128
896	1108	127
897	1109	125
898	1110	124
899	1111	123
900	1111	122
901	1112	120
902	1113	119
903	1114	118
904	1115	117
905	1116	115
906	1118	114
907	1119	113
908	1120	112
909	1120	110
910	1121	109
911	1122	108
912	1123	107
913	1124	105
914	1125	104
915	1126	103
916	1127	102
917	1128	100
918	1129	99
919	1129	98
920	1130	97
921	1131	95
922	1133	94
923	1134	93
924	1135	92
925	1136	90
926	1136	89
927	1137	88
928	1138	87
929	1139	85
930	1140	84
931	1141	83
932	1142	82
933	1143	80
934	1144	79
935	1145	78
936	1146	77
937	1147	75
938	1148	74
939	1149	73
940	1151	72
941	1152	70
942	1153	69
943	1154	68
944	1155	67
945	1156	65
946	1157	64
947	1158	63
948	1159	62
949	1160	61
950	1161	59
951	1163	58
952	1164	57
953	1165	56
954	1166	54
955	1167	53
956	1168	52
957	1169	51
958	1170	50
959	1171	48
960	1172	47
961	1173	46
962	1174	45
963	1175	43
964	1176	42
965	1176	41
966	1177	40
967	1179	38
968	1180	37
969	1181	36
970	1181	35
971	1182	34
972	1183	32
973	1184	31
974	1185	30
975	1186	29
976	1187	27
977	1188	26
978	1189	25
979	1190	24
980	1190	23
981	1191	21
982	1192	20
983	1194	19
984	1195	18
985	1196	16
986	1197	15
987	1198	14
988	1199	13
989	1200	12
990	1201	10
991	1201	9
992	1202	8
993	1203	7
994	1204	6
995	1205	4
996	1206	3
997	1207	2
998	1208	1
999	1209	0
